Date,Location / Operator,Aircraft Type / Registration,Fatalities
29-Aug-98,"Quito, Ecuador
Cubana de Aviacion","Tupolev TU-154M
CU-T1264",70/91(10)
2-Sep-98,"Off Peggy's Cove, Nova Scotia, Canada
Swissair","McDonnell Douglas MD-11
HB-IWF",229/229(0)
2-Sep-98,"Angola
Permaviatrans","Antonov AN-26
RA-26028",24/24(0)
9-Sep-98,"Port Alsworth, Alaska
Rusts Flying Service Inc.","de Havilland Dash-2 float plane
N1433Z",5/5(0)
10-Sep-98,"Islamabad, Pakistan
Military - Pakistan Air Force","Lockheed C-130B Hercules
24143",5/5(0)
25-Sep-98,"Near Nador, Morroco
Paukn Air","British Aerospace BAe-146-100
EC-GEO",38/38(0)
28-Sep-98,"Praia, Cape Verde
Cabo Verde Airlines","de Havilland Canada DHC-6 Twin Otter 300
D4-CAX",1/22(0)
29-Sep-98,"Off Mannar, Sri Lanka
Lionair","Antonov AN-24RV
EW-46465",55/55(0)
2-Oct-98,"Near Canaima, Venezuela
Servivensa","Douglas DC-3C
YV-611C",1/27(0)
10-Oct-98,"Near Kindu, Congo
Congo Airline","Boeing B-727-30
9Q-CSG",41/41(0)
21-Oct-98,"Yerevan, Armenia
Ararat Avia","Yakovlev YAK-40
EK-88272",0/37(4)
25-Oct-98,"Rwenzori mountains, Uganda
TanaMana Aviation","Britten-Norman BN-2A-3 Islander
5Y-ANV",4/11(0)
1-Nov-98,"Near Quetzaltenango, Guatemala
Living Water Teaching Ministries Charter","Douglas DC-3C
N3FY",11/18(0)
11-Nov-98,"Near Krasnoyarsk, Russia
Sakha Airlines","Antonov AN-12
RA-12955",13/13(0)
21-Nov-98,"Edgewater, Maryland
Private","Burgess RV-6 experimental
N956DB",1/1(0)
7-Dec-98,"Baie-Comeau, Canada
Air Satellite","Britten-Norman Trislander
C-FCVK",7/10(0)
11-Dec-98,"Near Surat Thani, Thailand
Thai Airways","Airbus A-310-204
HS-TIA",102/146(0)
14-Dec-98,"Near Cuito, Angola
Khors Aircompany","Antonov AN-12BP
UR-11319",11/11(0)
17-Dec-98,"Saurimo, Angola
Zanex","Antonov 12
S9-SAT",1/10(0)
22-Dec-98,"Medellín, Colombia
SELVA","Antonov 32B
HK-3930X",5/5(0)
26-Dec-98,"Vila Nova, Angola
Transafrik","Lockheed Martin L-100-30 Hercules
S9-CAO",14/14(0)
2-Jan-99,"Near Huambo, Angola
Transafrik - United Nations Charter","Lockheed L-100-30 Hercules
D2-EHD",9/9(0)
12-Jan-99,"Guernsey, Channel Islands, England
Channel Express","Fokker F-27 Friendship 600
G-CHNL",2/2(0)
13-Jan-99,"Mayne Island, British Columbia, Canada
Kelowna Flightcraft Air Charter","Douglas DC-3C
C-GWUG",2/2(0)
13-Jan-99,"Geilenkirchen, Germany
Military - German Air National Guard","Boeing KC-135E
59-1452",4/4(0)
16-Jan-99,"Coconut Island, QLD, Australia
Uzu Air","Britten Norman BN-2A-26
VH-XFF",3/4(0)
21-Jan-99,"Bluefields, Nicaragua
Fuerza Aérea Nicaragua","Antonov AN-26
?",28/28(0)
2-Feb-99,"Luanda, Angola
Savannair","Antonov AN-12
EL-ASS",14/14(13)
3-Feb-99,"Hoskins, Papua New Guinea
Airlink","Britten Norman BN-2A Trislander
P2-ALH",11/11(0)
8-Feb-99,"Kinshasa, Democratic Republic Congo
Air Karibu","Lockheed L-188A Electra
9Q-CDI",7/7(0)
24-Feb-99,"Rui'an, China
China Southwest Airlines","Tupolev TU-154
B-2622",61/61(0)
25-Feb-99,"Genoa, Italy
Minerva Airlines","Dornier 328-110
D-CPRR",4/31(0)
7-Mar-99,"New Delhi, India
Military - Indian Air Force","Antonov AN-32 Transport
K2673",19/19(3)
18-Mar-99,"Near Tame, Colombia
ALIANSA Colombia","Douglas DC-3C (C-47A-DK)
HK-337",8/8(8)
19-Mar-99,"Davis Inlet, Newfoundland, Canada
Provincial Airlines","de Havilland Canada DHC-6 Twin Otter 300
C-FWLQ",1/2(0)
7-Apr-99,"Near Ceyhan, Turkey
Turkish Airlines (THY)","Boeing 737-4Q8
TC-JEP",6/6(0)
7-Apr-99,"Ribeirao Preto, Brazil
Manacá Táxi Aéreo","Learjet 24D
PT-LEM",5/5(0)
8-Apr-99,"Near Malaga, Colombia
Aerotaca","de Havilland Canada DHC-6 Twin Otter 300
HK-2760",5/5(0)
15-Apr-99,"Shanghi, China
Korean Air","McDonnell Douglas MD-11
HL-7373",3/3(0)
8-May-99,"Off Port Vila, Vanuatu
Vanair","de Havilland Canada DHC-6 Twin Otter 300
YJ-RV9",7/12(0)
24-May-99,"Kuching, Malaysia
Military - Malaysian Air Force","de Havilland Canada DHC-4A
M21-05",5/5(0)
29-May-99,"Ol Kiombo, Kenya
Malindi Air Services","Let 410UVP-E
5Y-LET",2/2(0)
1-Jun-99,"Little Rock, Arkansas
American Airlines","McDonnell Douglas MD-82
N215AA",11/145(0)
3-Jun-99,"Near Khartoum, Sudan
Military - Sudan Air Force","Antonov 32
?",50/50(0)
9-Jun-99,"Juneau, Alaska
Air Taxi - Coastal Helicopters Inc.","Eurocopter AS-350BA
N6099S",7/7(0)
9-Jun-99,"Coron, Philippines
Pacific Airways","Britten-Norman BN-2A-21 Islander
RP-C471",1/1(0)
17-Jun-99,"Goroka, Papua New Guinea
Airlink","Embraer 110P2 Bandeirante
P2-ALX",17/17(0)
25-Jun-99,"Long Haul Lake, Manatoba, Canada
Blue Water Aviation Services","de Havilland Canada DHC-3 Otter
C-FIFP",1/2(0)
1-Jul-99,"Luzamba, Angola
Savanair","Antonov 12B
TN-AFR",1/5(0)
2-Jul-99,"Sittwe, Myanmar
Myanmar Airways","Fokker F-27 Friendship 600
XY-AEO",8/8(0)
4-Jul-99,"Villavicencio, Colombia
LANC Colombia","Douglas DC-6A
HK-1776",5/18(0)
7-Jul-99,"Near Kathmandu, Nepal
Lufthansa Cargo Airlines","Boeing 727-243F
VT-LCI",5/5(0)
9-Jul-99,"Toluca , Mexico
Aero Jet Express","Hawker Siddeley HS-125
XA-TAL",4/4(0)
16-Jul-99,"Off Martha's Vineyard, Massachusetts
Private","Piper PA-32-R301 Saratoga II HP
N9253N",3/3(0)
23-Jul-99,"Tokyo, Japan
All Nippon Airways","Boeing B-747
JA8966",1/517(0)
23-Jul-99,"Near Orito, Colombia
Military - U.S. Army","de Havilland Canada DHC-7-102
N5382W",7/7(0)
24-Jul-99,"Nasevou Village, Fiji
Air Fiji","Embraer 110P1 Bandeirante
DQ-AFN",17/17(0)
7-Aug-99,"Santo Antao, Cape Verde Islands
TACV-Cabo Verde Airlines","Dornier 228-201
D4-CBC",18/18(0)
22-Aug-99,"Hong Kong, China
China Airlines (Taiwan)","McDonnell Douglas MD-11
B-150",3/315(0)
24-Aug-99,"Hualian, Taiwan
Uni Air","McDonnell Douglas MD-90-30
B-17912",1/96(0)
26-Aug-99,"Turtkul, Uzbekistan
Uzbekistan Airways","Yakovlev YAK-40
UK-87848",2/33(0)
31-Aug-99,"Buenos Aires, Argentina
LAPA, Lineas Aereas Privadas Argentinas","Boeing B-737-204C
LV-WRZ",63/103(2)
5-Sep-99,"Near Kathmandu, Nepal
Necon Air","Hawker Siddeley HS-748-501 Super 2B
9N-AEG",15/15(0)
14-Sep-99,"Bucharest, Romania
Greek Government","Dassault Falcon 900B
SX-ECH",7/13(0)
14-Sep-99,"Belelm, Brazil
Norte Jet Táxi Aéreo","Embraer 110 Bandeirante
PT-ODK",2/2(0)
14-Sep-99,"Girona, Spain
Britannia Airways","Boeing 757-204
G-BYAG",1/245(0)
17-Sep-99,"Mt. Hidalgo, Mexico
Military - Mexican Air Force","Lockheed C-130A Hercules
3610",5/5(0)
2-Oct-99,"Dhahran, Saudi Arabia
Aramco Associated Company","Bell 214ST helicopter
N704H",12/20(0)
24-Oct-99,"San Carlos, Venezuela
Military - Venezuelan Army","Arava 201
EV-8012",6/6(0)
25-Oct-99,"Aberdeen, South Dakota
Private charter","Gates Learjet 35
N47BA",6/6(0)
31-Oct-99,"Off Nantucket Island, Massachusetts
EgyptAir","Boeing B-767-366ER
SU-GAP",217/217(0)
9-Nov-99,"Near Uruapan, Mexico
TAESA","McDonnell Douglas DC-9-31
XA-TKN",18/18(0)
12-Nov-99,"Near Pristina, Kosovo
Si Fly - U.N. charter","Aerospatiale Alenia ATR-42
F-OHFV",24/24(0)
5-Dec-99,"Moscow, Russia
Tashkent Aircraft Production Corporation","Ilyushin 114T
UK-91004",5/7(0)
7-Dec-99,"Near Bayombang, Philippines
Asian Spirit","Let 410UVP
RP-C-3883",17/17(0)
10-Dec-99,"Kuwait City, Kuwait
Military - U.S. Air Force","Lockheed C-130H
63-7854",3/94(0)
11-Dec-99,"Sao Jorge, Azores (Portugal)
SATA","British Aerospace APT
CS-TGM",35/35(0)
21-Dec-99,"Guatemala City, Guatemala
Cubana de Aviacon","McDonnell Douglas DC-10-30
F-GTDI",16/314(2)
22-Dec-99,"Great Hallingbury, United Kingdom
Korean Air","Boeing 747-2B5F
HL-7451",4/4(0)
24-Dec-99,"Amritsar, India / Kandahar, Afghanistan
Indian Airlines","Airbus A300B2-101
VT-EDW",1/189(0)
25-Dec-99,"Bejuma, Venezuela
Cubana de Aviacion","Yakovlev YAK-42D
CU-T1285",22/22(0)
25-Dec-99,"Near Simara, Nepal
Skyline Airways","de Havilland Canada DHC-6 Twin Otter
9N-AFL",10/10(0)
29-Dec-99,"Near Zonguldak, Turkey
Ecuato Guineana de Aviacion","Antonov 28
3C-JJI",6/6(0)
5-Jan-00,"Abuja, Nigeria
Skypower Express Airways","Embraer 110P1A Bandeirante
5N-AXL",1/16(1)
10-Jan-00,"Niederhasli, Switzerland
Crossair","Saab 340B
HB-AKK",10/10(0)
13-Jan-00,"Off Marsa el-Brega, Libya
Avisto","Shorts 360-300
HB-AAM",22/41(0)
15-Jan-00,"San Jose, Costa Rica
TACA","Let 410UVP-E
YS-09-C",5/20(0)
30-Jan-00,"Off Abidjan, Ivory Coast
Kenya Airways","AirbusA310-304
5Y-BEN",169/179(0)
31-Jan-00,"Off Point Mugu, California
Alaska Airlines","McDonnell Douglas MD-83
N963AS",88/88(0)
2-Feb-00,"Tehran, Iran
Military - Islamic Republic of Iran Air Force","Lockheed C-130 Hercules
?",8/8(0)
16-Feb-00,"Sacramento, California
Emery Worldwide","McDonnell Douglas DC-8-71F
N8079U",3/3(0)
5-Mar-00,"Burbank, Calilfornia
Southwest Airlines","Boeing B-737-3T5
N668SW",0/142(0)
9-Mar-00,"Moscow, Russia
Vologodskiye Airlines","Yakovlev YAK-40
RA-88170",9/9(0)
17-Mar-00,"Near Kuna Yala, Panama
Aeroperlas","de Havilland Canada DHC-6 Twin Otter 300
HP-1267APP",10/10(0)
17-Mar-00,"Ennadai Lake, Canada
Points North Air Services","Douglas C-47A-5-DK
C-FNTF",2/2(0)
22-Mar-00,"Herreira, Spain
Military - Ejército del Aire","CASA 212-DE Aviocar 200
TM-12D-73",7/7(0)
24-Mar-00,"Kadirana, Sri Lanka
Sky Cabs","Antonov AN-12 (freighter)
RA-11302",6/8(2)
25-Mar-00,"Huambo, Angola
Uralex","Antonov AN-32
D2-MAJ",3/33(0)
30-Mar-00,"Near Anuradhapura, Sri Lanka
Military - Sri Lankan Air Force","Antonov An-26
UR-79170",40/40(0)
5-Apr-00,"Marianna, Florida
Bankair","Learjet 35A
N86BE",3/3(0)
19-Apr-00,"Samal Island, Philippines
Air Philippines","Boeing B-737-2H4
RP-C3010",131/131(0)
19-Apr-00,"Pepa ,Congo
Military - Centrafricain Airlines","Antonov AN-8
TL-ACM",24/24(0)
29-Apr-00,"Bapi, Papua New Guinea
North Coast Aviation","Britten-Norman BN-2A-20 Islander
P2-ISA",4/4(0)
2-May-00,"Lyon Satolas, France
Northern Executive Aviation","Learjet 35A
G-MURI",2/5(0)
3-May-00,"Kurupung, Guyana
Trans Guyana Airways","Britten-Norman BN-2A-9 Islander
8R-GAC",1/1(0)
10-May-00,"Kaunakakai, Hawaii
Price Aircraft Company","Rockwell Sabreliner 65
N241H",6/6(0)
17-May-00,"Moanda, Gabon
Avirex","Beechcraft 1900C-1
TR-LFK",3/10(0)
21-May-00,"Near Wilkes-Barre, Pennsylvania
Executive Airlines","BAe Jetstream 3101-31
N16EJ",19/19(0)
25-May-00,"Near Manila, Philippines
Philippine Air Lines","Airbus A.330-301
F-OHZN",1/298(0)
31-May-00,"Off Whyalla, Australia
Whyalla Airlines","Piper PA-31-350 Navajo
VH-MZK",8/8(0)
5-Jun-00,"Accra, Ghana
Ghana Airlink","Fokker F-27 Friendship 600
G-524",7/52(0)
22-Jun-00,"Shitai, China
Wuhan Airlines","Xian Yunshuji Y-7-100C
B-3479",44/44(7)
23-Jun-00,"Boca Raton, Florida
Universal Jet Aviation","Learjet 55
N220JC",3/3(0)
27-Jun-00,"Off Shimano, Japan
Military - Japanese Air Self-Defence Force","Kawasaki C-1A
88-1027",5/5(0)
2-Jul-00,"Off Cagayancillo, Philippines
Military - Philippine Air Force","GAF Nomad N-22C
N286",14/15(0)
8-Jul-00,"Near Villahermosa, Mexico
Aerocaribe","British Aerospace BAe Jetstream 32EP
N912FJ",19/19(0)
9-Jul-00,"Villavicencio, Colombia
CORAL Colombia","Curtiss C-46A-60-CS
HK-851P",13/19(0)
13-Jul-00,"Raleigh, North Carolina
Win Win Aviation","de Havilland Canada DHC-6 Twin Otter 200
N201RH",1/3(0)
17-Jul-00,"Patna, India
Indian Airlines/Alliance Airlines","Boeing B-737-2A8 Advanced
VT-EGD",55/58(5)
19-Jul-00,"Linneus, Maine
Airwave Transport","Grumman G-159 Gulfstream I
C-GNAK",2/2(0)
20-Jul-00,"Nassau, Bahamas
Allied Air Freight","Douglas C-47A-10-DK
N54AA",2/2(0)
21-Jul-00,"Maui, Hawaii
Blue Hawaiian Helicopters","Aerospatiale AS355-F1
N510TG",7/7(0)
25-Jul-00,"Gonesse, France
Air France","Aerospatiale BAe Concorde 101
F-BTSC",109/109(4)
26-Jul-00,"Mafraq, Jordan
Military - Royal Jordanian Air Force","Lockheed C-130H Hercules
348",13/13(0)
27-Jul-00,"Jodhura, Nepal
Royal Nepal Airlines","de Havilland Canada DHC-6 Twin Otter 300
9N-ABP",25/25(0)
2-Aug-00,"Cubatao, Brazil
Air taxi - Lider Air Taxi","Sikorsky S-76
PT-HRD",6/6(0)
6-Aug-00,"Puerto Montt, Chile
Military - Fuerza Aérea de Chile","Casa 212-AB10 Aviocar
230",14/14(0)
9-Aug-00,"Burlington Township, New Jersey
Patuxent Airways / Private","Piper Navajo PA-31/ Piper Seminole PA-44
N27944 / N2225G",11/11(0)
12-Aug-00,"Near Tshikapa, Congo
Staer Air","Antonov AN-26B
9Q-CJI",27/27(0)
23-Aug-00,"Off Manama, Bahrain
Gulf Air","Airbus A320-212
A4O-EK",143/143(0)
2-Sep-00,"Mount Montezuma, Colombia
Military - Fuerza Aérea Colombiana","Douglas C-47
FAC1659",7/7(0)
4-Sep-00,"Near Burketown, Australia
Charter - Central Air","Beechcraft SKA 200
VH-SKC",8/8(0)
16-Sep-00,"Kumarapura, Sri Lanka
Military - Sri Lanka Air Force","Mil Mi-17
?",14/14(0)
6-Oct-00,"Reynosa, Mexico
Aeromexico","McDonnell Douglas DC-9-31
N936ML",0/88(4)
8-Oct-00,"Port Radium, Northwest Territories, Canada
Summit Air Charters","Shorts SC.7 Skyvan 3-100
C-FSDZ",3/3(0)
10-Oct-00,"Wichita, Kansas
Bombardier Aerospace","Canadair CL-600-2B16 Challenger 604
C-FTBZ",2/3(0)
16-Oct-00,"Hillsboro, Missouri
Private","Cessna 335
N8354N",3/3(0)
19-Oct-00,"Near Sam Neua, Laos
Lao Aviation","Harbin Yunshuji Y-12-II
RDPL-34130",8/17(0)
25-Oct-00,"Near Batumi, Republic of Georgia
Military - Russian Air Force","Ilyushin IL-18D
RA-74295",86/86(0)
31-Oct-00,"Taipei, Taiwan
Singapore Airlines","Boeing B-747-412
9V-SPK",83/179(0)
31-Oct-00,"Near Monaquimbundo, Angola
Aca-Ancargo","Antonov AN-26
D2-FDI",44/44(0)
7-Nov-00,"Luabo, Democratic Republic Congo
Malu Aviation","Antonov 32B
ER-AFA",2/11(0)
9-Nov-00,"Fort Wayne, Indiana
Superior Aviation","Swearingen SA.226TC Metro II
N731AC",1/1(0)
15-Nov-00,"Near Luanda, Angola
Asa Pesada","Antonov AN-26
D2-FCG",57/57(0)
20-Nov-00,"Miami, Florida
American Airlines","Airbus A300-600R
N14056",1/114(0)
11-Dec-00,"Near Sumacal, Beni, BO
Servicio Aereo Manchupo","Cessna 206
CP-1721",6/6(0)
4-Jan-01,"Zheng Zou AB, China
Military - People's Liberation Army","Shaanxi Yunshuji Y-8/Yunshuji Y-8
31242/31243",16/16(6)
8-Jan-01,"Near Silimo, Indonesia
Military - Tentara Nasional Indonesia Navy","CASA 212-MP Aviocar 200
U-614",9/9(0)
23-Jan-01,"Eider Point, Alaska
Majestic Air Cargo","Douglas C-47A-30-DK (DC-3C)
N19454",2/2(0)
25-Jan-01,"Ciudad Bolivar, Venezuela
Rutaca Airlines","Douglas DC-3C (C47A-DL)
YV-224C",24/24(0)
27-Jan-01,"Byers, Colorado
North Bay Charter","Beech King Air 200 Catpass
N81PF",10/10(0)
31-Jan-01,"El Yopal, Colombia
Lineas Aereas Suramericanas","Sud Aviation SE-210 Caravelle 10R
HK-3932X",3/6(0)
8-Feb-01,"Nurnberg, Germany
E.A.S. Aeroservizi","Learjet 35A
I-MOCO",3/3(0)
8-Feb-01,"Beaver Island, Minnesota
Northern Illinois Flight Center","Swearingen SA.227AT Merlin IVC
N318DH",2/6(0)
10-Feb-01,"Jakobkondre, Suriname
Gum Air Charter","GAF Nomad N24A
PZ-TBP",10/10(0)
27-Feb-01,"Near Granton Harbour, Scotland
Loganair","Shorts 360-100
G-BNMT",2/2(0)
3-Mar-01,"Unadilla, Georgia
Military - Florida Army National Guard","Short 360
93-1336",21/21(0)
3-Mar-01,"Bangkok, Thailand
Thai Airways","Boeing B-737-4D7
HS-TDC",1/5(0)
15-Mar-01,"Medina, Saudi Arabia
Vnukovo Airlines","Tupolev 154M
RA-85619",3/174(0)
24-Mar-01,"Gustavia, St. Barthélémy, French West Indies
Air Caraibes","de Havilland Canada DHC-6 Twin Otter
F-OGES",19/19(1)
26-Mar-01,"Jadura, Indonesia
Merpati Nusantara Airlines","Fokker F-27 Friendship 500F
PK-MFL",3/3(0)
29-Mar-01,"Near Aspen, Colorado
Jetwingsco Inc. - Private Charter","Grummand Gulfstream III
N303GA",18/18(0)
4-Apr-01,"Adar Yeil, Sudan
Military - Sudan Air Force","Antonov AN-24
?",14/30(0)
7-Apr-01,"Thanh Tranh Village, Vietnam
SFC Vietnam - Charter - Full Account","Mil Mi-18 Helicopter
VN-8415",16/16(0)
28-Apr-01,"Near Roque Perez, Argentina
Private - Techint group","Cessna 208B Grand Caravan
LV-WSC",10/10(0)
16-May-01,"Malatya, Turkey
Military - Turkish Air Force","CASA CN-235M-10
?",34/34(0)
17-May-01,"Near Sari, Iran
Faraz Qeshm Airlines","Yakovlev YAK-40
EP-TQP",30/30(0)
17-May-01,"Mendoza, Argentina
Fuerza Aérea Argentina","Fokker F-27 Friendship 400M
TC-76",5/5(0)
22-May-01,"Near Myakotino, Russia
Military - Russian Air Force","Antonov 12MGA
RA-12135",7/7(0)
15-Jun-01,"Jayapura, Indonesia
Manunggal Air","Transall C-160NG
PK-VTP",1/19(0)
4-Jul-01,"Near Irkutsk, Russia
Vladivostokavia","Tupolev TU-154M
RA-85845",145/145(0)
5-Jul-01,"Off Chinhae, South Korea
Private - Daewoo Shipbuilding","Sikorsky S-76B helicopter
HL9240",8/12(0)
12-Jul-01,"Near Puerto Cabello, Venezuela
Private - Overtec Company","Antonov AN-28 PZL-Mielec M-28 Sky Truck
YV-117CP",13/13(0)
14-Jul-01,"Near Moscow, Russia
Russ Air Transport Company","Ilyushin IL-76
RA-76588",10/10(0)
5-Aug-01,"Reykjavík, Iceland
Naske Air","Dassault Falcon 20C
D-CBNA",3/3(0)
10-Aug-01,"Near Meadview, Arizona
Papillon Grand Canyon Helicopters of Las Vegas","Aerospatiale AS350 Eurocopter helicoper
N169PA",6/7(0)
23-Aug-01,"Mugogo, Democratic Republic Congo
Victoria Airlines","Antonov 28
3C-LLA",4/11(0)
24-Aug-01,"Ithaca, New York
Ameristar Jet Charter","Learjet 25
N153TW",2/2(0)
24-Aug-01,"Lajes, Terceira, Azores
Air Transat","Airbus A-330-243
C-GITS",0/304(0)
29-Aug-01,"Near Malaga, Spain
Binter Mediterráneo","CASA CN-235-200
EC-FBC",4/47(0)
11-Sep-01,"Arlington, Virginia.
American Airlines","Boeing B-757-223
N644AA",64/64(125)
11-Sep-01,"New York City, New York
American Airlines","Boeing 767-223ER
N334AA",92/92(2750)
11-Sep-01,"New York City, New York
United Air Lines","Boeing B-767-222
N612UA",65/65(2750)
11-Sep-01,"Shanksville, Pennsylvania
United Air Lines","Boeing B-757-222
N591UA",44/44(0)
12-Sep-01,"Near Chichen Itza, Mexico
Aero Ferinco Charter","LET 410UVP
XA-ACM",19/19(0)
15-Sep-01,"Belo Horizonte, Brazil
TAM (Brazil)","Fokker 100
PT-MRN",1/82(0)
18-Sep-01,"Guatemala City, Guatemala
Atlantic Airlines","LET 410UVP-E
TG-CPE",9/13(0)
4-Oct-01,"110 miles SW of Sochi, Russia
Sibir Airlines","Tupolev Tu-154M
RA-85693",78/78(0)
8-Oct-01,"Mollet Lake, Quebec, Canada
Air Saint Maurice Inc.","de Havilland DHC-2 Mk 1 Beaver
C-GPUO",3/7(0)
8-Oct-01,"Milan, Italy
Scandinavian Airlines (SAS) / Private","MD-87 / Cessna 525A Citation II
SE-DMA / D-IEVX",114/114(4)
10-Oct-01,"Off Valencia, Spain
Flightline","Swearingen SA-226AT Merlin IV
EC-GDV",10/10(0)
10-Oct-01,"Dillingham, Alaska
PenAir","Cessna 208 Caravan
N9530F",10/10(0)
11-Oct-01,"Shamattawa, Canada
Perimeter Airlines","Swearingen SA.226TC Metro I
C-GYPA",2/3(0)
18-Oct-01,"Anchorage, Alaska
ERA Aviation - Air Taxi","Bell 206L
N400EH",3/5(0)
12-Nov-01,"Belle Harbor, Queens, New York
American Airlines","Airbus A-300-605R
N14053",260/260(5)
19-Nov-01,"Kalyazin, Russia
Charter - IRS Aero","Ilyushin 18V
RA-75840",27/27(0)
22-Nov-01,"Pittsburgh, Pennsylvania
Universal Jet Aviation","Learjet 25B
N5UJ",2/2(0)
23-Nov-01,"Palade, Estonia
ELK Aviation Co. (leased from Eminex)","Antonov AN-28
ES-NOV",2/17(0)
24-Nov-01,"Birchwil, Switzerland
Crossair","BAE Avro RJ100
HB-IXM",24/33(0)
27-Nov-01,"Port Harcourt, Nigeria
MK Airlines","Boeing 747-246F
9G-MKI",1/13(0)
1-Dec-01,"Near Novaya Inya , Russia
Military - Russian, cargo","Ilyushin IL- 76TD
RA-76839",18/18(0)
14-Dec-01,"Geti, Democratic Republic Congo
Eagle Air","Let 410A
5X-CNF",6/6(0)
16-Dec-01,"Near Medellin, Colombia
Heliandes","Let 410UVP-E
HK-4175X",16/16(0)
26-Dec-01,"Bremerhaven, Germany
BAL Bremerhaven Airline","Britten Norman BN-2B Trislander
D-IAAI",8/9(0)
4-Jan-02,"Birmingham, England
Agco Corp","Canadair CL-604
N90AG",5/5(0)
9-Jan-02,"Shamsi AFB, Pakistan
Military - U.S. Air Force","Lockheed Hercules KC-130R
160021",7/7(0)
14-Jan-02,"Bilbao, Spain
Ibertrans Aérea","Embraer EMB-120 Brasilia
EC-GTJ",3/3(0)
15-Jan-02,"Chilpancingo, Mexico
Procuraduría General de la República","de Havilland DHC-6 Twin Otter 300
XC-FIT",5/17(0)
16-Jan-02,"Near Solo, Indonesia
Garuda Indonesia Airlines","Boeing B-737-3Q8
PK-GWA",1/62(0)
17-Jan-02,"Near La Bonita, Ecuador
Petroproducción","Fairchild FH-227E
HC-AYM",26/26(0)
27-Jan-02,"Near Luena, Angola
Military - Angolan Air Force","Antonov AN-12
T-304",5/40(0)
28-Jan-02,"Near Ipiales, Colombia
TAME","Boeing B-727-134
HC-BLF",92/92(0)
12-Feb-02,"Near Khorramabed, Iran
Iran Air Tours","Tupolev TU-154
EP-MBS",117/117(0)
15-Feb-02,"Monrovia, Liberia
Tiramavia","Antonov 12BP
ER-ADL",1/10(0)
21-Feb-02,"Lakhta, Russia
Military - Russian Navy","Antonov AN-26
07RED",17/20(0)
22-Feb-02,"Off Dumaguete, Philippines
Military - U.S. Army","MH-47 Chinook helicopter
92-0471",10/10(0)
9-Mar-02,"Monte Rotondo, Italy
Svedijos Prekés","Antonov 2TP
LY-AVD",3/3(0)
14-Mar-02,"Near Placetas, Cuba
Charter - Aerotaxi","Antonov AN-2
CU-T1020",17/17(0)
17-Mar-02,"Off Djibouti, Republic of Djibouti
Djibouti Airlines","Let 410UVP-E
J2-KBC",4/4(0)
12-Apr-02,"Palma de Mallorca, Spain
Tadair","Swearingen SA.227AC Metro III
EC-GKR",2/2(0)
15-Apr-02,"Busan, South Korea
Air China","Boeing B-767-200ER
B-2552",128/166(0)
19-Apr-02,"Popayán, Colombia
SELVA Colombia","Antonov AN-32A
HK-4171X",3/8(0)
28-Apr-02,"Near Abakan, Russia
Private","Mi-8 helicopter
?",8/20(0)
4-May-02,"Kano, Nigeria
EAS Airlines (Executive Airline Services)","BAC One-Eleven 525FT
5N-ESF",74/77(78)
7-May-02,"Near Tunis, Tunisia
EgyptAir","Boeing B-737-566
SU-GBI",14/62(0)
7-May-02,"Off Dalian, China
China Northern Airlines","McDonnell Douglas MD-82
B-2138",112/112(0)
21-May-02,"Near Calabar, Nigeria
Sky Executive Air Services","LET 410UVP
9Q-CEX",5/5(0)
25-May-02,"Off Penghu Island, Taiwan
China Airlines (Taiwan)","Boeing B-747-209B
B-18255",225/225(0)
25-May-02,"Near Nabire, Indonesia
Trigana Air Service","de Havilland Canada DHC-6 Twin Otter 300
PK-YPZ",6/6(0)
1-Jun-02,"George, South Africa
Airquarius Aviation - Charter","Hawker Siddeley HS-748-372
ZS-OJU",3/3(0)
2-Jun-02,"Near Ndalatando, Angola
Military - Angolan Armed Forces","Mi-17
?",20/25(0)
12-Jun-02,"Near Gardez, Afghanistan
Military - U.S. Air Force","Lockheed MC-130H Hercules
84-0475",3/10(0)
1-Jul-02,"Uberlingen, Germany
Bashkirian Airlines / DHL Worldwide Express","Tupolev TU-154M / Boeing B-757-23APF
RA85816/A9C-DHL",71/71(0)
4-Jul-02,"Bangui, Central African Republic
Prestige Airlines (Cargo) Charter","Boeing B-707-123B
9XR-IS",27/27(0)
16-Jul-02,"Near Long Barai, Indonesia
Sabang Merauke Raya Air Charter","Britten-Norman BN-2A Islander
PK-TAR",10/10(0)
16-Jul-02,"Off Cromer, Norfork, England
Bristow Helicopters","Sikorsky S-76A
G-BJVX",11/11(0)
17-Jul-02,"Surkhet, Nepal
Skyline Airways","de Havilland Canada DHC-6 Twin Otter 300
9N-AGF",4/4(0)
27-Jul-02,"Lviv, Ukraine
Military - Ukraine Air Force","Sukhoi Su-27
42",0/2(85)
28-Jul-02,"Moscow, Russia
Pulkovo Aviation Enterprise","Iluyshin Il-86
RA-86060",14/16(0)
7-Aug-02,"Caguas, Puerto Rico
Military - U.S. Air Force","Lockheed MC-130H Hercules
90-0161",10/10(0)
15-Aug-02,"Kadjuduwa Watta, Sri Lanka
Military - Sri Lanka Air Force","Yunshuji Y-8D
CR-873",5/5(0)
19-Aug-02,"Khankala, Chechnya
Military - Russian Air Force","Mil Mi-26
89RED",121/147(0)
